French,English
Lâcher son fou,to let loose / let it all hang out
La cerise sur le sundae,the cherry on top
Ça prend tout mon petit change,it takes everything I've got
À cause tu fais simple de même?,why are you acting so dumb?
Sacrer son camp,to clear off / get the hell out
Se payer la traite,to treat oneself
Dormir au gaz,to be asleep at the wheel
Broche à foin,shoddy / half-baked / amateurish
Tourner les coins ronds,to cut corners
C'est de valeur,it's a shame / too bad
Au plus sacrant,as soon as possible / ASAP
Ça prend pas la tête à Papineau,it's not rocket science
Tricoté serré,close-knit / tight-knit
Avoir un six pack,to have six-pack abs
Mélangé comme un sac de clous,all mixed up / completely confused
Piquer une fouille,to take a tumble / wipe out
Frapper son Waterloo,to meet one's Waterloo
OPC : Au plus crisse,ASAP (urgently)
Virer sur un 10 cents,to turn on a dime
Pelleter par en avant,to kick the can down the road
Le diable est aux vaches,all hell is breaking loose
Se fendre le cul,to bust one's ass / work like hell
Chiquer la guenille,to grumble / gripe
Passer un sapin,to get fooled / ripped off
Tiguidou,all good / A-OK
Il tombe des peaux de lièvre,it's snowing big fluffy flakes
Avoir la fly à l'air,to have one's fly undone
Se paqueter la fraise,to get plastered / hammered
Refouler au lavage,to shrink in the wash
Être assis sur son steak,to sit on one's butt (do nothing)
Donner son 4%,to give someone the boot / fire them
Faire du train,to make a racket
Lâche pas la patate,hang in there / don't give up
Avoir de la broue dans le toupet,to be swamped / run off one's feet
Manger ses bas,to fret / be worried sick
Gras comme un voleur,to be sitting pretty / well-off
Péter de la broue,to show off / blow hot air
Avoir de la mine dans le crayon,to have lead in the pencil
En avoir plein son cas',to be fed up / have had it up to here
Parler à travers son chapeau,to talk through one's hat (talk nonsense)
Niaise pas avec la puck,don't mess around / quit stalling
Avoir la chienne,to be scared stiff
Se sécher les dents,to grin like a fool / fake-smile
Cogner des clous,to nod off / doze off
Avoir de l'eau dans la cave,to be wearing high-waters (pants too short)
Être de bonne heure sur le piton,to be up bright and early / on the ball early
Swing la bacaisse dans l'fond de la boîte à bois,swing your partner round and round (cut loose)
On se calme le pompon,simmer down / take it easy
Avoir du front tout le tour de la tête,to have a lot of nerve / cheek
Le boss des bécosses,a petty tyrant / self-important little boss
Se pogner le beigne,to twiddle one's thumbs / loaf around
Être vite sur ses patins,to be quick on one's feet / sharp
Avoir une montée de lait,to fly off the handle / have a sudden flare-up
Caller l'orignal,to throw up (esp. from drinking)
Pas d'chicane dans ma cabane,no fighting in my house
Se sucrer le bec,to satisfy one's sweet tooth
Tire-toi une bûche,pull up a chair / grab a seat
Chauffer le char,to drive the car
Avoir des croûtes à manger,to still have a lot to learn / pay one's dues
Se faire prendre pour une valise,to be taken for a fool
Virer une brosse,to go on a bender
Passer la nuit sur la corde à linge,to be up all night / not sleep a wink
Chanter la pomme,to sweet-talk / woo someone
L'affaire est ketchup,everything's all set / golden
J'ai mon voyage,I've had it / I can't believe it
Avoir un pain au four,to have a bun in the oven (be pregnant)
Chien de poche,a clingy tag-along (follows you everywhere)
Les deux bras m'ont tombé,I was floored / stunned
S'accorder comme chien et chat,to fight like cats and dogs
Se prendre pour un autre,to be too big for one's boots
Tomber sur les nerfs,to get on someone's nerves
"Être sur son 36, se mettre beau ou belle",to be dressed to the nines
Ambitionner su' l'pain béni,to push one's luck / take advantage
Attacher son manteau,to button up one's coat
Avoir le coeur gros,to be heavy-hearted
Avoir les yeux dans la graisse de binnes,"to have a dreamy, lovestruck look"
"Baragouiner l'anglais, parler anglais comme une vache espagnole",to speak broken English
Barrer la porte,to lock the door
Perdre le nord,to lose one's bearings / panic
Au Québec on embarque et on débarque d'une voiture,to get in and out of a car (lit. 'board/disembark')
Être fou comme un balai,to be bouncing off the walls / wild with excitement
Être fou comme d'la marde,to be bouncing off the walls / wild with excitement
"Faire la baboune, faire du boudin",to sulk / pout
Faire dur,to look rough / be in bad shape
Faire ses commissions,to do one's shopping / run errands
Manger une volée,to get a beating / thrashing
Paqueter ses p'tits,to pack one's bags
Partir le char,to start the car
Se faire passer un sapin,to get conned / ripped off
Se pogner l'cul,to sit around on one's ass
Sacrer son camp,to clear off / take off
Se sauter dans la face,to get in each other's faces / have a shouting match
Tirer la pipe à quelqu'un,to pull someone's leg / wind them up